trade_date,entry_ts,trade_id,signal_family
2021-08-16,2021-08-16 08:22:00+00:00,388,phase7_180min
2021-08-17,2021-08-17 05:47:00+00:00,389,phase7_180min
2021-08-17,2021-08-17 06:37:00+00:00,390,phase7_180min
2021-08-17,2021-08-17 07:54:00+00:00,391,phase7_180min
2021-08-18,2021-08-18 04:59:00+00:00,392,phase7_180min
2021-08-18,2021-08-18 05:01:00+00:00,393,phase7_180min
2021-08-18,2021-08-18 05:06:00+00:00,394,phase7_180min
2021-08-18,2021-08-18 05:25:00+00:00,395,phase7_180min
2021-08-18,2021-08-18 05:30:00+00:00,396,phase7_180min
2021-08-18,2021-08-18 06:50:00+00:00,397,phase7_180min
2021-08-18,2021-08-18 07:18:00+00:00,398,phase7_180min
2021-08-18,2021-08-18 07:41:00+00:00,399,phase7_180min
2021-08-20,2021-08-20 07:55:00+00:00,400,phase7_180min
2021-08-23,2021-08-23 06:36:00+00:00,401,phase7_180min
2021-08-24,2021-08-24 05:54:00+00:00,402,phase7_180min
2021-08-24,2021-08-24 06:39:00+00:00,403,phase7_180min
2021-08-25,2021-08-25 07:11:00+00:00,404,phase7_180min
2021-08-25,2021-08-25 07:20:00+00:00,405,phase7_180min
2021-08-25,2021-08-25 08:19:00+00:00,406,phase7_180min
2021-08-25,2021-08-25 08:36:00+00:00,407,phase7_180min
2021-08-26,2021-08-26 05:02:00+00:00,408,phase7_180min
2021-08-26,2021-08-26 05:14:00+00:00,409,phase7_180min
2021-08-26,2021-08-26 05:31:00+00:00,410,phase7_180min
2021-08-26,2021-08-26 05:40:00+00:00,411,phase7_180min
2021-08-26,2021-08-26 05:57:00+00:00,412,phase7_180min
2021-08-26,2021-08-26 06:04:00+00:00,413,phase7_180min
2021-08-26,2021-08-26 06:12:00+00:00,414,phase7_180min
2021-08-26,2021-08-26 06:36:00+00:00,415,phase7_180min
2021-08-26,2021-08-26 06:44:00+00:00,416,phase7_180min
2021-08-26,2021-08-26 07:32:00+00:00,417,phase7_180min
2021-08-26,2021-08-26 07:43:00+00:00,418,phase7_180min
2021-08-30,2021-08-30 04:56:00+00:00,419,phase7_180min
2021-08-30,2021-08-30 05:01:00+00:00,420,phase7_180min
2021-08-30,2021-08-30 05:17:00+00:00,421,phase7_180min
2021-08-30,2021-08-30 05:23:00+00:00,422,phase7_180min
2021-08-30,2021-08-30 08:04:00+00:00,423,phase7_180min
2021-08-30,2021-08-30 08:31:00+00:00,424,phase7_180min
2021-08-31,2021-08-31 06:26:00+00:00,425,phase7_180min
2021-08-31,2021-08-31 07:12:00+00:00,426,phase7_180min
2021-09-02,2021-09-02 04:59:00+00:00,427,phase7_180min
2021-09-02,2021-09-02 05:57:00+00:00,428,phase7_180min
2021-09-02,2021-09-02 06:05:00+00:00,429,phase7_180min
2021-09-02,2021-09-02 06:14:00+00:00,430,phase7_180min
2021-09-02,2021-09-02 07:33:00+00:00,431,phase7_180min
2021-09-02,2021-09-02 07:41:00+00:00,432,phase7_180min
2021-09-06,2021-09-06 07:09:00+00:00,433,phase7_180min
2021-09-06,2021-09-06 07:52:00+00:00,434,phase7_180min
2021-09-07,2021-09-07 06:19:00+00:00,435,phase7_180min
2021-09-07,2021-09-07 06:25:00+00:00,436,phase7_180min
